review_id,port,sentence,sentiment
1,Roatan,Roatan ended up being the highlight for me.,0.34
1,Roatan,I booked a small group tour that included a wildlife sanctuary and a short beach stop.,-0.296
1,Roatan,"The sloth interaction felt a little touristy but still memorable, and the guides were genuinely funny and engaging.",0.7876
1,Costa Maya,"The sloth interaction felt a little touristy but still memorable, and the guides were genuinely funny and engaging.",0.7876
1,Costa Maya,"The beach portion was short, maybe too short, but the water was calm and clear.",0.7469
1,Costa Maya,"In Costa Maya, we tried to explore on foot but quickly realized everything near the port is built for cruise passengers.",0.0
1,Cozumel,"In Costa Maya, we tried to explore on foot but quickly realized everything near the port is built for cruise passengers.",0.0
1,Costa Maya,"We ended up taking a taxi to a quieter beach, which was better but felt rushed because of limited port time.",-0.1027
1,Cozumel,"We ended up taking a taxi to a quieter beach, which was better but felt rushed because of limited port time.",-0.1027
1,Costa Maya,"We ended up taking a taxi to a quieter beach, which was better but felt rushed because of limited port time.",-0.1027
1,Costa Maya,"Cozumel was the easiest to navigate—we just walked around town, grabbed lunch, and did some light shopping.",0.4215
1,Cozumel,"Cozumel was the easiest to navigate—we just walked around town, grabbed lunch, and did some light shopping.",0.4215
1,Costa Maya,"Cozumel was the easiest to navigate—we just walked around town, grabbed lunch, and did some light shopping.",0.4215
1,Cozumel,"Overall, I liked the variety of stops but wished Costa Maya had either more time or better access to less commercial areas.",0.7046
1,Costa Maya,"Overall, I liked the variety of stops but wished Costa Maya had either more time or better access to less commercial areas.",0.7046
2,Roatan,I’ve cruised a few times and Roatan felt the most authentic of the three stops.,-0.1531
2,Roatan,We hired a driver for the day and visited local neighborhoods before heading to a snorkeling spot.,0.0
2,Costa Maya,We hired a driver for the day and visited local neighborhoods before heading to a snorkeling spot.,0.0
2,Roatan,"The reef was impressive, probably the best water visibility of the trip.",0.8176
2,Costa Maya,"The reef was impressive, probably the best water visibility of the trip.",0.8176
2,Costa Maya,Costa Maya was my least favorite.,-0.357
2,Costa Maya,"The port area is basically a shopping complex, and the beach clubs all felt similar.",0.0
2,Cozumel,"The port area is basically a shopping complex, and the beach clubs all felt similar.",0.0
2,Costa Maya,We picked one randomly and it was fine but nothing special.,-0.3584
2,Cozumel,We picked one randomly and it was fine but nothing special.,-0.3584
2,Cozumel,"Cozumel had more flexibility—we rented a scooter and drove along the coast, stopping wherever looked interesting.",0.2732
2,Roatan,"Cozumel had more flexibility—we rented a scooter and drove along the coast, stopping wherever looked interesting.",0.2732
2,Cozumel,"Cozumel had more flexibility—we rented a scooter and drove along the coast, stopping wherever looked interesting.",0.2732
2,Costa Maya,"Cozumel had more flexibility—we rented a scooter and drove along the coast, stopping wherever looked interesting.",0.2732
2,Cozumel,That freedom made a big difference.,0.6369
2,Roatan,That freedom made a big difference.,0.6369
2,Cozumel,That freedom made a big difference.,0.6369
2,Costa Maya,That freedom made a big difference.,0.6369
2,Cozumel,"If I did this itinerary again, I’d plan something more structured for Costa Maya and keep Roatan and Cozumel more open-ended.",0.0
2,Roatan,"If I did this itinerary again, I’d plan something more structured for Costa Maya and keep Roatan and Cozumel more open-ended.",0.0
2,Cozumel,"If I did this itinerary again, I’d plan something more structured for Costa Maya and keep Roatan and Cozumel more open-ended.",0.0
2,Costa Maya,"If I did this itinerary again, I’d plan something more structured for Costa Maya and keep Roatan and Cozumel more open-ended.",0.0
3,Roatan,"First cruise for me, and I didn’t realize how much planning the ports would need.",0.0
3,Roatan,"In Roatan, we booked a zipline and beach combo excursion.",0.0
3,Costa Maya,"In Roatan, we booked a zipline and beach combo excursion.",0.0
3,Roatan,"The zipline part was fun but very quick, and most of the day ended up being transportation.",0.2846
3,Costa Maya,"The zipline part was fun but very quick, and most of the day ended up being transportation.",0.2846
3,Roatan,Costa Maya was a long day because we chose the ruins excursion.,-0.4404
3,Costa Maya,Costa Maya was a long day because we chose the ruins excursion.,-0.4404
3,Cozumel,Costa Maya was a long day because we chose the ruins excursion.,-0.4404
3,Costa Maya,"The ruins themselves were fascinating, but the bus ride was close to an hour each way, which made the day feel exhausting.",-0.4497
3,Cozumel,"The ruins themselves were fascinating, but the bus ride was close to an hour each way, which made the day feel exhausting.",-0.4497
3,Costa Maya,Cozumel was the only port where we just wandered without a plan.,0.0
3,Cozumel,Cozumel was the only port where we just wandered without a plan.,0.0
3,Cozumel,"We found a small café and walked along the waterfront, which ended up being my favorite experience because it felt relaxed.",0.7351
3,Cozumel,"If I could redo it, I’d skip the long excursions and stay closer to the port areas.",0.0
4,Roatan,Roatan surprised me in a good way.,0.5859
4,Roatan,"We did a snorkeling trip right off a small boat, and the coral and fish were incredible.",0.0
4,Costa Maya,"We did a snorkeling trip right off a small boat, and the coral and fish were incredible.",0.0
4,Roatan,It didn’t feel overcrowded like I expected.,0.3612
4,Costa Maya,It didn’t feel overcrowded like I expected.,0.3612
4,Costa Maya,"Costa Maya, on the other hand, felt very manufactured.",0.4939
4,Costa Maya,We stayed in the port area and honestly just used the pool and had a few drinks there.,0.4588
4,Cozumel,We stayed in the port area and honestly just used the pool and had a few drinks there.,0.4588
4,Costa Maya,Didn’t feel worth getting off for long.,0.2263
4,Cozumel,Didn’t feel worth getting off for long.,0.2263
4,Cozumel,Cozumel was somewhere in between.,0.0
4,Cozumel,We took a taxi to a beach club and spent a few hours swimming and relaxing.,0.4939
4,Cozumel,"That was nice, but it got crowded by midday.",0.2263
5,Costa Maya,"Traveling with my sister, we were most excited about Costa Maya because of the Mayan ruins.",-0.0534
5,Costa Maya,"The site itself was beautiful and surrounded by jungle, but the schedule was very tight.",0.3506
5,Roatan,"The site itself was beautiful and surrounded by jungle, but the schedule was very tight.",0.3506
5,Costa Maya,We barely had time to take photos before being called back to the bus.,0.0
5,Roatan,We barely had time to take photos before being called back to the bus.,0.0
